Jornada,Juego,Local,Visitante,Momio_L,Momio_E,Momio_V,PG_L,PG_E,PG_V,G
4,3,Mazatlan,Tijuana,200,240,130,0.3333,0.2941,0.4348,E
4,4,Atlas,Pachuca,230,240,105,0.303,0.2941,0.4878,V
4,5,Pumas,Necaxa,-108,250,280,0.5181,0.2857,0.2632,E
4,6,Santos,Chivas,350,290,-147,0.2222,0.2564,0.5952,L
4,7,Club León,Monterrey,235,250,122,0.2985,0.2857,0.4505,V
4,8,FC Juarez,Toluca,260,260,-104,0.2778,0.2778,0.5102,V
4,9,San Luís,Cruz Azul,320,290,-129,0.2381,0.2564,0.5634,V
5,1,Puebla,San Luís,140,240,200,0.4167,0.2941,0.3333,V
5,2,Necaxa,Club León,-105,260,260,0.5128,0.2778,0.2778,V
5,3,Chivas,FC Juarez,-147,280,375,0.5952,0.2632,0.2105,V
5,4,Cruz Azul,Santos,-500,625,1150,0.8333,0.1379,0.08,L
5,5,Pachuca,Tijuana,-256,400,600,0.7194,0.2,0.1429,V
5,6,Tigres,América,115,230,230,0.4651,0.303,0.303,V
5,7,Toluca,Pumas,-133,270,350,0.5714,0.2703,0.2222,E
5,8,Queretaro,Atlas,200,220,130,0.3333,0.3125,0.4348,E
5,9,Monterrey,Mazatlan,-286,400,700,0.7407,0.2,0.125,L
